Date,Region,Inpatient Hospitalizations,ICU Hospitalizations
2020-08-20,Saskatoon,1,4
2020-08-20,Central West,0,0
2020-08-20,Central East,0,0
2020-08-20,Regina,0,0
2020-08-20,South West,0,0
2020-08-20,South Central,0,0
2020-08-20,South East,0,0
2020-08-21,Far North West,0,0
2020-08-21,Far North Central,0,0
2020-08-21,Far North East,0,0
2020-08-21,North West,0,0
2020-08-21,North Central,0,0
2020-08-21,North East,0,0
2020-08-21,Saskatoon,1,4
2020-08-21,Central West,0,0
2020-08-21,Central East,0,0
2020-08-21,Regina,0,0
2020-08-21,South West,0,0
2020-08-21,South Central,0,0
2020-08-21,South East,0,0
2020-08-22,Far North West,0,0
2020-08-22,Far North Central,0,0
2020-08-22,Far North East,0,0
2020-08-22,North West,0,0
2020-08-22,North Central,0,0
2020-08-22,North East,0,0
2020-08-22,Saskatoon,1,4
2020-08-22,Central West,0,0
2020-08-22,Central East,0,0
2020-08-22,Regina,0,0
2020-08-22,South West,0,0
2020-08-22,South Central,0,0
2020-08-22,South East,0,0
2020-08-23,Far North West,0,0
2020-08-23,Far North Central,0,0
2020-08-23,Far North East,0,0
2020-08-23,North West,0,0
2020-08-23,North Central,0,0
2020-08-23,North East,0,0
2020-08-23,Saskatoon,1,4
2020-08-23,Central West,0,0
2020-08-23,Central East,0,0
2020-08-23,Regina,0,0
2020-08-23,South West,0,0
2020-08-23,South Central,0,0
2020-08-23,South East,0,0
2020-08-24,Far North West,0,0
2020-08-24,Far North Central,0,0
2020-08-24,Far North East,0,0
2020-08-24,North West,0,0
2020-08-24,North Central,0,0
2020-08-24,North East,0,0
2020-08-24,Saskatoon,1,4
2020-08-24,Central West,0,0
2020-08-24,Central East,0,0
2020-08-24,Regina,0,0
2020-08-24,South West,0,0
2020-08-24,South Central,0,0
2020-08-24,South East,0,0
2020-08-25,Far North West,0,0
2020-08-25,Far North Central,0,0
2020-08-25,Far North East,0,0
2020-08-25,North West,0,0
2020-08-25,North Central,0,0
2020-08-25,North East,0,0
2020-08-25,Saskatoon,1,3
2020-08-25,Central West,0,0
2020-08-25,Central East,0,0
2020-08-25,Regina,0,0
2020-08-25,South West,0,0
2020-08-25,South Central,0,0
2020-08-25,South East,0,0
2020-08-26,Far North West,0,0
2020-08-26,Far North Central,0,0
2020-08-26,Far North East,0,0
2020-08-26,North West,0,0
2020-08-26,North Central,0,0
2020-08-26,North East,0,0
2020-08-26,Saskatoon,1,2
2020-08-26,Central West,0,0
2020-08-26,Central East,0,0
2020-08-26,Regina,0,0
2020-08-26,South West,0,0
2020-08-26,South Central,0,0
2020-08-26,South East,0,0
2020-08-27,Far North West,0,0
2020-08-27,Far North Central,0,0
2020-08-27,Far North East,0,0
2020-08-27,North West,0,0
2020-08-27,North Central,0,0
2020-08-27,North East,0,0
2020-08-27,Saskatoon,1,2
2020-08-27,Central West,0,0
2020-08-27,Central East,0,0
2020-08-27,Regina,0,0
2020-08-27,South West,0,0
2020-08-27,South Central,0,0
2020-08-27,South East,0,0
2020-08-28,Far North West,0,0
2020-08-28,Far North Central,0,0
2020-08-28,Far North East,0,0
2020-08-28,North West,0,0
2020-08-28,North Central,0,0
2020-08-28,North East,0,0
2020-08-28,Saskatoon,1,2
2020-08-28,Central West,0,0
2020-08-28,Central East,0,0
2020-08-28,Regina,0,0
2020-08-28,South West,0,0
2020-08-28,South Central,0,0
2020-08-28,South East,0,0
2020-08-29,Far North West,0,0
2020-08-29,Far North Central,0,0
2020-08-29,Far North East,0,0
2020-08-29,North West,0,0
2020-08-29,North Central,0,0
2020-08-29,North East,0,0
2020-08-29,Saskatoon,1,2
2020-08-29,Central West,0,0
2020-08-29,Central East,0,0
2020-08-29,Regina,0,0
2020-08-29,South West,0,0
2020-08-29,South Central,0,0
2020-08-29,South East,0,0
2020-08-30,Far North West,0,0
2020-08-30,Far North Central,0,0
2020-08-30,Far North East,0,0
2020-08-30,North West,0,0
2020-08-30,North Central,0,0
2020-08-30,North East,0,0
2020-08-30,Saskatoon,1,2
2020-08-30,Central West,0,0
2020-08-30,Central East,0,0
2020-08-30,Regina,0,0
2020-08-30,South West,0,0
2020-08-30,South Central,0,0
2020-08-30,South East,0,0
2020-08-31,Far North West,0,0
2020-08-31,Far North Central,0,0
2020-08-31,Far North East,0,0
2020-08-31,North West,0,0
2020-08-31,North Central,0,0
2020-08-31,North East,0,0
2020-08-31,Saskatoon,1,2
2020-08-31,Central West,0,0
2020-08-31,Central East,0,0
2020-08-31,Regina,0,0
2020-08-31,South West,0,0
2020-08-31,South Central,0,0
2020-08-31,South East,0,0
2020-09-01,Far North West,0,0
2020-09-01,Far North Central,0,0
2020-09-01,Far North East,0,0
2020-09-01,North West,0,0
2020-09-01,North Central,0,0
2020-09-01,North East,0,0
2020-09-01,Saskatoon,1,2
2020-09-01,Central West,0,0
2020-09-01,Central East,0,0
2020-09-01,Regina,0,0
2020-09-01,South West,0,0
2020-09-01,South Central,0,0
2020-09-01,South East,0,0
2020-09-02,Far North West,0,0
2020-09-02,Far North Central,0,0
2020-09-02,Far North East,0,0
2020-09-02,North West,0,0
2020-09-02,North Central,0,0
2020-09-02,North East,0,0
2020-09-02,Saskatoon,1,1
2020-09-02,Central West,0,0
2020-09-02,Central East,0,0
2020-09-02,Regina,0,0
2020-09-02,South West,0,0
2020-09-02,South Central,0,0
2020-09-02,South East,0,0
2020-09-03,Far North West,0,0
2020-09-03,Far North Central,0,0
2020-09-03,Far North East,0,0
2020-09-03,North West,0,0
2020-09-03,North Central,0,0
2020-09-03,North East,0,0
2020-09-03,Saskatoon,1,1
2020-09-03,Central West,0,0
2020-09-03,Central East,0,0
2020-09-03,Regina,0,0
2020-09-03,South West,0,0
2020-09-03,South Central,0,0
2020-09-03,South East,0,0
2020-09-04,Far North West,0,0
2020-09-04,Far North Central,0,0
2020-09-04,Far North East,0,0
2020-09-04,North West,0,0
2020-09-04,North Central,0,0
2020-09-04,North East,0,0
2020-09-04,Saskatoon,2,1
2020-09-04,Central West,0,0
2020-09-04,Central East,0,0
2020-09-04,Regina,0,0
2020-09-04,South West,0,0
2020-09-04,South Central,0,0
2020-09-04,South East,0,0
2020-09-05,Far North West,0,0
2020-09-05,Far North Central,0,0
2020-09-05,Far North East,0,0
2020-09-05,North West,0,0
2020-09-05,North Central,0,0
2020-09-05,North East,0,0
2020-09-05,Saskatoon,1,1
2020-09-05,Central West,0,0
2020-09-05,Central East,0,0
2020-09-05,Regina,0,0
2020-09-05,South West,0,0
2020-09-05,South Central,0,0
2020-09-05,South East,0,0
2020-09-06,Far North West,0,0
2020-09-06,Far North Central,0,0
2020-09-06,Far North East,0,0
2020-09-06,North West,0,0
2020-09-06,North Central,0,0
2020-09-06,North East,0,0
2020-09-06,Saskatoon,0,1
2020-09-06,Central West,0,0
2020-09-06,Central East,0,0
2020-09-06,Regina,0,0
2020-09-06,South West,0,0
2020-09-06,South Central,0,0
2020-09-06,South East,0,0
2020-09-07,Far North West,0,0
2020-09-07,Far North Central,0,0
2020-09-07,Far North East,0,0
2020-09-07,North West,0,0
2020-09-07,North Central,0,0
2020-09-07,North East,0,0
2020-09-07,Saskatoon,0,1
2020-09-07,Central West,0,0
2020-09-07,Central East,0,0
2020-09-07,Regina,0,0
2020-09-07,South West,0,0
2020-09-07,South Central,0,0
2020-09-07,South East,0,0
2020-09-08,Far North West,0,0
2020-09-08,Far North Central,0,0
2020-09-08,Far North East,0,0
2020-09-08,North West,0,0
2020-09-08,North Central,0,0
2020-09-08,North East,0,0
2020-09-08,Saskatoon,0,1
2020-09-08,Central West,0,0
2020-09-08,Central East,0,0
2020-09-08,Regina,0,0
2020-09-08,South West,0,0
2020-09-08,South Central,0,0
2020-09-08,South East,0,0
2020-09-09,Far North West,0,0
2020-09-09,Far North Central,0,0
2020-09-09,Far North East,0,0
2020-09-09,North West,0,0
2020-09-09,North Central,0,0
2020-09-09,North East,0,0
2020-09-09,Saskatoon,0,1
2020-09-09,Central West,0,0
2020-09-09,Central East,0,0
2020-09-09,Regina,0,0
2020-09-09,South West,0,0
2020-09-09,South Central,0,0
2020-09-09,South East,0,0
2020-09-10,Far North West,0,0
2020-09-10,Far North Central,0,0
2020-09-10,Far North East,0,0
2020-09-10,North West,0,0
2020-09-10,North Central,0,0
2020-09-10,North East,0,0
2020-09-10,Saskatoon,1,0
2020-09-10,Central West,0,0
2020-09-10,Central East,0,0
2020-09-10,Regina,0,0
2020-09-10,South West,0,0
2020-09-10,South Central,0,0
2020-09-10,South East,0,0
2020-09-11,Far North West,0,0
2020-09-11,Far North Central,0,0
2020-09-11,Far North East,0,0
2020-09-11,North West,0,0
2020-09-11,North Central,0,0
2020-09-11,North East,0,0
2020-09-11,Saskatoon,2,0
2020-09-11,Central West,0,0
2020-09-11,Central East,0,0
2020-09-11,Regina,0,0
2020-09-11,South West,0,0
2020-09-11,South Central,0,0
2020-09-11,South East,0,0
2020-09-12,Far North West,0,0
2020-09-12,Far North Central,0,0
2020-09-12,Far North East,0,0
2020-09-12,North West,0,0
2020-09-12,North Central,0,0
2020-09-12,North East,0,0
2020-09-12,Saskatoon,2,0
2020-09-12,Central West,0,0
2020-09-12,Central East,0,0
2020-09-12,Regina,0,0
2020-09-12,South West,0,0
2020-09-12,South Central,0,0
2020-09-12,South East,0,0
2020-09-13,Far North West,0,0
2020-09-13,Far North Central,0,0
2020-09-13,Far North East,0,0
2020-09-13,North West,0,0
2020-09-13,North Central,0,0
2020-09-13,North East,0,0
2020-09-13,Saskatoon,2,0
2020-09-13,Central West,0,0
2020-09-13,Central East,0,0
2020-09-13,Regina,0,0
2020-09-13,South West,0,0
2020-09-13,South Central,0,0
2020-09-13,South East,0,0
2020-09-14,Far North West,0,0
2020-09-14,Far North Central,0,0
2020-09-14,Far North East,0,0
2020-09-14,North West,0,0
2020-09-14,North Central,0,0
2020-09-14,North East,0,0
2020-09-14,Saskatoon,3,0
2020-09-14,Central West,0,0
2020-09-14,Central East,0,0
2020-09-14,Regina,0,0
2020-09-14,South West,0,0
2020-09-14,South Central,0,0
2020-09-14,South East,0,0
2020-09-15,Far North West,0,0
2020-09-15,Far North Central,0,0
2020-09-15,Far North East,0,0
2020-09-15,North West,0,0
2020-09-15,North Central,0,0
2020-09-15,North East,0,0
2020-09-15,Saskatoon,4,0
2020-09-15,Central West,0,0
2020-09-15,Central East,0,0
2020-09-15,Regina,0,0
2020-09-15,South West,0,0
2020-09-15,South Central,0,0
2020-09-15,South East,0,0
2020-09-16,Far North West,0,0
2020-09-16,Far North Central,0,0
2020-09-16,Far North East,0,0
2020-09-16,North West,0,0
2020-09-16,North Central,0,0
2020-09-16,North East,0,0
2020-09-16,Saskatoon,4,0
2020-09-16,Central West,0,0
2020-09-16,Central East,0,0
2020-09-16,Regina,0,0
2020-09-16,South West,0,0
2020-09-16,South Central,0,0
2020-09-16,South East,0,0
2020-09-17,Far North West,0,0
2020-09-17,Far North Central,0,0
2020-09-17,Far North East,0,0
2020-09-17,North West,0,0
2020-09-17,North Central,0,0
2020-09-17,North East,0,0
2020-09-17,Saskatoon,5,0
2020-09-17,Central West,0,0
2020-09-17,Central East,0,0
2020-09-17,Regina,0,0
2020-09-17,South West,0,0
2020-09-17,South Central,0,0
2020-09-17,South East,0,0
2020-09-18,Far North West,0,0
2020-09-18,Far North Central,0,0
2020-09-18,Far North East,0,0
2020-09-18,North West,0,0
2020-09-18,North Central,0,0
2020-09-18,North East,0,0
2020-09-18,Saskatoon,5,0
2020-09-18,Central West,0,0
2020-09-18,Central East,0,0
2020-09-18,Regina,0,0
2020-09-18,South West,0,0
2020-09-18,South Central,0,0
2020-09-18,South East,0,0
2020-09-19,Far North West,0,0
2020-09-19,Far North Central,0,0
2020-09-19,Far North East,0,0
2020-09-19,North West,0,0
2020-09-19,North Central,0,0
2020-09-19,North East,0,0
2020-09-19,Saskatoon,7,1
2020-09-19,Central West,0,0
2020-09-19,Central East,0,0
2020-09-19,Regina,1,0
2020-09-19,South West,0,0
2020-09-19,South Central,1,0
2020-09-19,South East,0,0
2020-09-20,Far North West,0,0
2020-09-20,Far North Central,0,0
2020-09-20,Far North East,0,0
2020-09-20,North West,0,0
2020-09-20,North Central,0,0
2020-09-20,North East,0,0
2020-09-20,Saskatoon,7,1
2020-09-20,Central West,0,0
2020-09-20,Central East,0,0
2020-09-20,Regina,1,0
2020-09-20,South West,0,0
2020-09-20,South Central,1,0
2020-09-20,South East,0,0
2020-09-21,Far North West,0,0
2020-09-21,Far North Central,0,0
2020-09-21,Far North East,0,0
2020-09-21,North West,0,0
2020-09-21,North Central,0,0
2020-09-21,North East,0,0
2020-09-21,Saskatoon,7,1
2020-09-21,Central West,0,0
2020-09-21,Central East,0,0
2020-09-21,Regina,1,0
2020-09-21,South West,0,0
2020-09-21,South Central,1,0
2020-09-21,South East,0,0
2020-09-22,Far North West,0,0
2020-09-22,Far North Central,0,0
2020-09-22,Far North East,0,0
2020-09-22,North West,0,0
2020-09-22,North Central,0,0
2020-09-22,North East,0,0
2020-09-22,Saskatoon,7,1
2020-09-22,Central West,0,0
2020-09-22,Central East,0,0
2020-09-22,Regina,0,0
2020-09-22,South West,0,0
2020-09-22,South Central,1,0
2020-09-22,South East,0,0
2020-09-23,Far North West,0,0
2020-09-23,Far North Central,0,0
2020-09-23,Far North East,0,0
2020-09-23,North West,0,0
2020-09-23,North Central,0,0
2020-09-23,North East,0,0
2020-09-23,Saskatoon,7,1
2020-09-23,Central West,0,0
2020-09-23,Central East,0,0
2020-09-23,Regina,0,0
2020-09-23,South West,0,0
2020-09-23,South Central,1,0
2020-09-23,South East,0,0
2020-09-24,Far North West,0,0
2020-09-24,Far North Central,0,0
2020-09-24,Far North East,0,0
2020-09-24,North West,0,0
2020-09-24,North Central,0,0
2020-09-24,North East,0,0
2020-09-24,Saskatoon,7,0
2020-09-24,Central West,0,0
2020-09-24,Central East,0,0
2020-09-24,Regina,0,0
2020-09-24,South West,0,0
2020-09-24,South Central,1,0
2020-09-24,South East,0,0
2020-09-25,Far North West,0,0
2020-09-25,Far North Central,0,0
2020-09-25,Far North East,0,0
2020-09-25,North West,0,0
2020-09-25,North Central,0,0
2020-09-25,North East,0,0
2020-09-25,Saskatoon,7,0
2020-09-25,Central West,0,0
2020-09-25,Central East,0,0
2020-09-25,Regina,0,0
2020-09-25,South West,0,0
2020-09-25,South Central,1,0
2020-09-25,South East,0,0
2020-09-26,Far North West,0,0
2020-09-26,Far North Central,0,0
2020-09-26,Far North East,0,0
2020-09-26,North West,0,0
2020-09-26,North Central,0,0
2020-09-26,North East,0,0
2020-09-26,Saskatoon,7,0
2020-09-26,Central West,0,0
2020-09-26,Central East,0,0
2020-09-26,Regina,0,0
2020-09-26,South West,0,0
2020-09-26,South Central,1,0
2020-09-26,South East,0,0
2020-09-27,Far North West,0,0
2020-09-27,Far North Central,0,0
2020-09-27,Far North East,0,0
2020-09-27,North West,0,0
2020-09-27,North Central,0,0
2020-09-27,North East,0,0
2020-09-27,Saskatoon,6,0
2020-09-27,Central West,0,0
2020-09-27,Central East,0,0
2020-09-27,Regina,1,0
2020-09-27,South West,0,0
2020-09-27,South Central,0,0
2020-09-27,South East,0,0
2020-09-28,Far North West,0,0
2020-09-28,Far North Central,0,0
2020-09-28,Far North East,0,0
2020-09-28,North West,0,0
2020-09-28,North Central,0,0
2020-09-28,North East,0,0
2020-09-28,Saskatoon,7,0
2020-09-28,Central West,0,0
2020-09-28,Central East,0,0
2020-09-28,Regina,0,0
2020-09-28,South West,0,0
2020-09-28,South Central,1,0
2020-09-28,South East,0,0
2020-09-29,Far North West,0,0
2020-09-29,Far North Central,0,0
2020-09-29,Far North East,0,0
2020-09-29,North West,0,0
2020-09-29,North Central,0,0
2020-09-29,North East,0,0
2020-09-29,Saskatoon,6,0
2020-09-29,Central West,0,0
2020-09-29,Central East,0,0
2020-09-29,Regina,1,0
2020-09-29,South West,1,0
2020-09-29,South Central,0,0
2020-09-29,South East,0,0
2020-09-30,Far North West,0,0
2020-09-30,Far North Central,0,0
2020-09-30,Far North East,0,0
2020-09-30,North West,0,0
2020-09-30,North Central,0,1
2020-09-30,North East,0,0
2020-09-30,Saskatoon,5,0
2020-09-30,Central West,0,0
2020-09-30,Central East,0,0
2020-09-30,Regina,1,0
2020-09-30,South West,2,0
2020-09-30,South Central,0,0
2020-09-30,South East,0,0
2020-10-01,Far North West,0,0
2020-10-01,Far North Central,0,0
2020-10-01,Far North East,0,0
2020-10-01,North West,0,0
2020-10-01,North Central,0,0
2020-10-01,North East,0,0
2020-10-01,Saskatoon,4,0
2020-10-01,Central West,0,0
2020-10-01,Central East,0,0
2020-10-01,Regina,1,0
2020-10-01,South West,2,0
2020-10-01,South Central,0,0
2020-10-01,South East,0,0
2020-10-02,Far North West,0,0
2020-10-02,Far North Central,0,0
2020-10-02,Far North East,0,0
2020-10-02,North West,0,0
2020-10-02,North Central,0,0
2020-10-02,North East,0,0
2020-10-02,Saskatoon,3,0
2020-10-02,Central West,0,0
2020-10-02,Central East,0,0
2020-10-02,Regina,1,0
2020-10-02,South West,2,0
2020-10-02,South Central,0,0
2020-10-02,South East,0,0
2020-10-03,Far North West,0,0
2020-10-03,Far North Central,0,0
2020-10-03,Far North East,0,0
2020-10-03,North West,0,0
2020-10-03,North Central,0,0
2020-10-03,North East,0,0
2020-10-03,Saskatoon,0,0
2020-10-03,Central West,0,0
2020-10-03,Central East,0,1
2020-10-03,Regina,0,0
2020-10-03,South West,0,0
2020-10-03,South Central,0,0
2020-10-03,South East,0,0
2020-10-04,Far North West,0,0
2020-10-04,Far North Central,0,0
2020-10-04,Far North East,0,0
2020-10-04,North West,0,0
2020-10-04,North Central,0,0
2020-10-04,North East,0,0
2020-10-04,Saskatoon,0,0
2020-10-04,Central West,0,0
2020-10-04,Central East,0,0
2020-10-04,Regina,0,1
2020-10-04,South West,0,0
2020-10-04,South Central,0,0
2020-10-04,South East,0,0
2020-10-05,Far North West,0,0
2020-10-05,Far North Central,0,0
2020-10-05,Far North East,0,0
2020-10-05,North West,0,0
2020-10-05,North Central,0,0
2020-10-05,North East,0,0
2020-10-05,Saskatoon,0,0
2020-10-05,Central West,0,0
2020-10-05,Central East,0,0
2020-10-05,Regina,0,1
2020-10-05,South West,0,0
2020-10-05,South Central,0,0
2020-10-05,South East,0,0
2020-10-06,Far North West,0,0
2020-10-06,Far North Central,0,0
2020-10-06,Far North East,0,0
2020-10-06,North West,0,0
2020-10-06,North Central,0,0
2020-10-06,North East,0,0
2020-10-06,Saskatoon,1,0
2020-10-06,Central West,0,0
2020-10-06,Central East,0,0
2020-10-06,Regina,0,1
2020-10-06,South West,0,0
2020-10-06,South Central,0,0
2020-10-06,South East,0,0
2020-10-07,Far North West,0,0
2020-10-07,Far North Central,0,0
2020-10-07,Far North East,0,0
2020-10-07,North West,0,0
2020-10-07,North Central,0,0
2020-10-07,North East,0,0
2020-10-07,Saskatoon,4,0
2020-10-07,Central West,0,0
2020-10-07,Central East,0,0
2020-10-07,Regina,0,1
2020-10-07,South West,0,0
2020-10-07,South Central,0,0
2020-10-07,South East,0,0
2020-10-08,Far North West,0,0
2020-10-08,Far North Central,0,0
2020-10-08,Far North East,0,0
2020-10-08,North West,0,0
2020-10-08,North Central,0,0
2020-10-08,North East,0,0
2020-10-08,Saskatoon,5,0
2020-10-08,Central West,0,0
2020-10-08,Central East,0,0
2020-10-08,Regina,1,1
2020-10-08,South West,0,0
2020-10-08,South Central,0,0
2020-10-08,South East,0,0
2020-10-09,Far North West,0,0
2020-10-09,Far North Central,0,0
2020-10-09,Far North East,0,0
2020-10-09,North West,0,0
2020-10-09,North Central,0,0
2020-10-09,North East,0,0
2020-10-09,Saskatoon,4,1
2020-10-09,Central West,0,0
2020-10-09,Central East,0,0
2020-10-09,Regina,1,1
2020-10-09,South West,1,0
2020-10-09,South Central,0,0
2020-10-09,South East,0,0
2020-10-10,Far North West,0,0
2020-10-10,Far North Central,0,0
2020-10-10,Far North East,0,0
2020-10-10,North West,0,0
2020-10-10,North Central,0,0
2020-10-10,North East,0,0
2020-10-10,Saskatoon,3,1
2020-10-10,Central West,0,0
2020-10-10,Central East,0,0
2020-10-10,Regina,1,1
2020-10-10,South West,0,0
2020-10-10,South Central,0,0
2020-10-10,South East,0,0
2020-10-11,Far North West,0,0
2020-10-11,Far North Central,0,0
2020-10-11,Far North East,0,0
2020-10-11,North West,0,0
2020-10-11,North Central,0,0
2020-10-11,North East,0,0
2020-10-11,Saskatoon,3,1
2020-10-11,Central West,0,0
2020-10-11,Central East,0,0
2020-10-11,Regina,1,1
2020-10-11,South West,0,0
2020-10-11,South Central,0,0
2020-10-11,South East,0,0
2020-10-12,Far North West,0,0
2020-10-12,Far North Central,0,0
2020-10-12,Far North East,0,0
2020-10-12,North West,0,0
2020-10-12,North Central,0,0
2020-10-12,North East,0,0
2020-10-12,Saskatoon,5,0
2020-10-12,Central West,0,0
2020-10-12,Central East,0,0
2020-10-12,Regina,2,1
2020-10-12,South West,0,0
2020-10-12,South Central,0,0
2020-10-12,South East,0,0
2020-10-13,Far North West,0,0
2020-10-13,Far North Central,0,0
2020-10-13,Far North East,0,0
2020-10-13,North West,0,0
2020-10-13,North Central,1,0
